Title,Release Year,Distributor,Production,Longitude,Latitude
Magnum Force,1973,Warner Bros. Pictures,The Malpaso Company,-122.3866097,37.760628
Ant-Man and the Wasp,2018,Walt Disney Studios Motion Pictures,"PYM Particles Productions II, LLC",-122.417993,37.8022173
The Bachelor,1999,New Line Cinema,George Street Pictures,-122.4102464,37.8007752
A View to a Kill,1985,MGM/UA Entertainment Company,Metro-Goldwyn Mayer,-122.4155073,37.8083487
GirlBoss,2017,Netflix,"Hippolyta Productions, LLC",-122.4266135,37.7608223
Jade,1995,Paramount Pictures,Paramount Pictures,-122.4196461,37.8020026
Pushing Dead,2016,TBD,"Pushing Dead , LLC",-122.3880561,37.7522663
Outerlands,2025,Wolfe Video,"Vajra Films, LLC",-122.42792,37.75826
Goliath- Season 4,2021,Amazon Studios,"Picrow, Inc.",-122.4102464,37.8007752
Venom: Let There Be Carnage,2021,Sony Pictures,SM Film Productions,-122.4484231,37.8029308
Knife Fight,2013,Eagle Films,Divisadero Pictures & Knife Fight,-122.4192417,37.779275
Dopamine,2003,Sundance Channel Home Entertainment,Kontent Films,-122.3939621,37.7815955
Chance - Season 1ep105,2016,HULU,TVM Productions,-122.3901793,37.7573664
Looking,2014,Home Box Office (HBO),"Mission Street Productions, LLC",-122.4083444,37.7527111
Pushing Dead,2016,TBD,"Pushing Dead , LLC",-122.431613,37.772235
Blue Jasmine,2013,Sony Pictures Classics,Perdido Productions,-122.4018316,37.7406356
Godzilla,2014,Warner Bros. Pictures,"Nautilus Productions, LLC",-122.4042565,37.7917052
Surface,2022,Apple TV+,"Apple Studios, LLC",-122.405882,37.7857404
Looking Season 2 ep 204,2015,HBO,"Mission Street Productions, LLC",-122.435038,37.7608968
Nine Months,1995,Twentieth Century Fox Film Corp.,1492 Pictures,-122.3946185,37.7926608
When We Rise,2017,Amercian Broadcasting Company,Film 49 Productions,-122.4347365,37.7619917
Point Blank,1967,Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,-122.4230122,37.8266636
Basic Instinct,1992,TriStar Pictures,Carolco Pictures,-122.3956409,37.7993521
"Murder in the First, Season 1",2014,Turner Network Television (TNT),Turner North Center Productions,-122.4420903,37.7752229
Bicentennial Man,1999,Buena Vista Pictures,1492 Pictures,-122.3699786,37.825284
I Am Michael,2015,,That’s Hollywood,-122.4304368,37.7593234
Dirty Harry,1971,Warner Brothers,The Malpaso Company,-122.4052341,37.7948896
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,-122.4499856,37.7658126
Sense8,2015,Netflix,"Unpronounceable Productions, LLC",-122.4432485,37.7561688
Red Widow,2013,American Broadcasting Company (ABC),Beyond Pix,-122.3976317,37.7935159
Chance - Season 1 Pilot,2016,HULU,TVM Productions,-122.462669,37.783857
Foul Play,1978,Paramount Pictures,Paramount Pictures,-122.417608,37.7919369
"Murder in the First, Season 1",2014,Turner Network Television (TNT),Turner North Center Productions,-122.4491285,37.8026694
The Matrix Resurrections,2021,Warner Brothers,"Adobe Pictures, Inc.",-122.3984911,37.7932242
Chance- Season 1 ep104,2016,HULU,TVM Productions,-122.3896656,37.7589556
Always Be My Maybe,2019,Netflix,"Isla Productions, LLC",-122.4686755,37.771469
The Last Thing He Told Me,2023,Apple TV+,20th Television,-122.4395368,37.7929909
A Taiwanese Tale of Two Cities,2018,Netflix,Envision Productions Inc.,-122.4119166,37.7888192
Surface,2022,Apple TV+,"Apple Studios, LLC",-122.4035729,37.7892748
Blue Jasmine,2013,Sony Pictures Classics,Perdido Productions,-122.5072394,37.7455566
Getting Even with Dad,1994,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),-122.4686755,37.771469
A Man on The Inside,2024,Netflix,"NBCUniversal Media, LLC",-122.4143334,37.7912071
So I Married an Axe Murderer,1993,TriStar Pictures,TriStar Pictures,-122.4147089,37.8032738
Birdman of Alcatraz,1962,United Artists,Norma Productions,-122.4133446,37.8092691
GirlBoss,2017,Netflix,"Hippolyta Productions, LLC",-122.4447426,37.7698938
Foul Play,1978,Paramount Pictures,Paramount Pictures,-122.4316945,37.790738
Metro,1997,Buena Vista Pictures,Touchstone Pictures,-122.4137459,37.7895412
Nash Bridges,2021,USA Nework,"Village NB Productions, LLC",-122.4156675,37.8036989
Summertime,2015,3 Distribution,"Creative Monster Productions, Inc.",-122.41422,37.799743
Sense8,2015,Netflix,"Unpronounceable Productions, LLC",-122.4207622,37.7852455
The Core,2003,Paramount Pictures,David Foster Productions,-122.4785598,37.8199109
Fearless,1993,Warner Bros. Pictures,Spring Creek Productions,-122.4034751,37.7967894
Fairyland,2023,Lionsgate,Portals of the Past LLC,-122.411144,37.7543015
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,-122.4041754,37.7761709
Boys and Girls,2000,Dimension Films,Punch 21 Productions,-122.4048082,37.7944675
Ant-Man and the Wasp,2018,Walt Disney Studios Motion Pictures,"PYM Particles Productions II, LLC",-122.4438535,37.7668755
Bullitt,1968,Warner Brothers,Warner Brothers / Seven Arts Seven Arts,-122.439016,37.8066961
Sense8,2015,Netflix,"Unpronounceable Productions, LLC",-122.4548745,37.7475379
A Man on The Inside,2024,Netflix,"Universal Television, LLC",-122.4075531,37.792265
Red Widow,2013,American Broadcasting Company (ABC),Beyond Pix,-122.4184682,37.7522505
Outerlands,2025,Wolfe Video,"Vajra Films, LLC",-122.5039749,37.7755356
Etruscan Smile,2017,TBD,"Po Valley Productions, LLC",-122.3908828,37.7938381
Nash Bridges,2021,USA Nework,"Village NB Productions, LLC",-122.4085177,37.7810198
D.O.A,1950,United Artists,Cardinal Pictures,-122.4066183,37.787552
A Man on The Inside,2024,Netflix,"Universal Television, LLC",-122.3892168,37.7784136
DEVS,2020,FX Network,Minim Productions,-122.4204941,37.7626596
Chance- Season 1 ep104,2016,HULU,TVM Productions,-122.4536757,37.7437508
Maintenance Required,2025,Amazon MGM Studios,ROUKYA FILMS,-122.44059,37.7709
The Presidio,1988,Paramount Pictures,Paramount Pictures,-122.4008359,37.7974666
Sense8,2015,Netflix,"Unpronounceable Productions, LLC",-122.4117609,37.7655451
San Andreas,2015,Warner Bros.,"Upside Down Productions, Inc.",-122.4067887,37.7973074
Dirty Harry,1971,Warner Brothers,The Malpaso Company,-122.3976732,37.7992627
Chance - Season 1 Pilot,2016,HULU,TVM Productions,-122.4126834,37.7849979
Steve Jobs,2015,Universal Pictures,RDF Productions LLC,-122.4342208,37.7524013
Chance- Season 1 ep102,2016,HULU,TVM Productions,-122.4066034,37.7901055
Tales of the City,2019,Netflix,Universal Television LLC,-122.4040755,37.7991868
Twisted,2004,Paramount Pictures,Paramount Pictures,-122.4070096,37.7986328
Chance- Season 1 ep106,2016,HULU,TVM Productions,-122.4102464,37.8007752
The Maltese Falcon,1941,Warner Bros. Pictures,Warner Bros. Pictures,-122.4785598,37.8199109
Ballers Season 3,2017,HBO,"Chori Perros Productions, LLC",-122.3899506,37.7916129
Chance Season 2,2017,Hulu,TVM Productions Inc.,-122.43968,37.79178
Heart Beat,1980,Orion Pictures Corporation,Orion Pictures Corporation,-122.4172161,37.8038552
Terminator - Genisys,2015,Paramount Pictures,T5 Productions LLC,-122.4082534,37.7873806
The Last Black Man in San Francisco,2019,A24,"LBMISF, LLC",-122.40554,37.74294
About a Boy,2014,National Broadcasting Company,NBC Studios,-122.4650165,37.8040257
Edtv,1999,MCA / Universal Pictures,Imagine Entertainment,-122.4098155,37.8002479
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,-122.4011149,37.7597474
Chan is Missing,1982,New Yorker Films,New Yorker Films,-122.4064344,37.7954238
"Smile Again, Jenny Lee",2015,,Carlo Caldana/Marguery Films,-122.4389872,37.803747
Chef Dynasty: House of Fang,2022,Food Network,"Quidnet Media, LLC",-122.4030647,37.7882287
Edtv,1999,MCA / Universal Pictures,Imagine Entertainment,-122.4347365,37.7619917
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,-122.3994771,37.800136
"Smile Again, Jenny Lee",2015,,Carlo Caldana/Marguery Films,-122.4329885,37.7606868
The Conversation,1974,Paramount Pictures,American Zoetrope,-122.3964729,37.7936658
The Last Black Man in San Francisco,2019,A24,"LBMISF, LLC",-122.4156566,37.7587433
Chance Season 2,2017,Hulu,TVM Productions Inc.,-122.4093993,37.8013834
Super Pumped: The Battle for Uber,2022,Showtime,Possible Productions,-122.393956,37.791116
"Murder in the First, Season 3",2016,Turner Network Television (TNT),Turner North Center Productions,-122.4176986,37.7794929
Terminator - Genisys,2015,Paramount Pictures,T5 Productions LLC,-122.4012639,37.78825
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.424317,37.764992
Blindspotting Season 2,2022,Starz,Blindspotting Productions Inc,-122.404479,37.7979773
"Smile Again, Jenny Lee",2015,,Carlo Caldana/Marguery Films,-122.4234103,37.7852038
The OA Part II,2019,Netflix,Lunar Mining LLC,-122.4157025,37.785466
Goliath- Season 4,2021,Amazon Studios,"Picrow, Inc.",-122.4083888,37.8005521
Bitter Melon,2018,"ABS-CBN, Gravitas Ventures",Bitter Melon Film LLC/Mammoth Pictures,-122.4620093,37.7814827
Looking Season 2 ep 209,2015,HBO,"Mission Street Productions, LLC",-122.411015,37.7746
Goliath,2021,Amazon Prime Video,Amazon Studios,-122.4497164,37.7583538
Americana,2015,,Sutro Films LLC,-122.4698138,37.7303176
"Smile Again, Jenny Lee",2015,,Carlo Caldana/Marguery Films,-122.503979,37.7364851
Petulia,1968,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,-122.4050682,37.8017592
Shit and Champagne,2020,,"Shaboom Boom, LLC",-122.4066953,37.8039343
Sense8 - Season 2,2016,Netflix,"Unpronounceable Productions, LLC",-122.4227025,37.7614492
Sweet November,2001,Warner Bros. Pictures,Warner Bros. Pictures,-122.3959956,37.7624718
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.4348796,37.7592955
A Taiwanese Tale of Two Cities,2018,Netflix,Envision Productions Inc.,-122.4168378,37.779593
Bullitt,1968,Warner Brothers,Warner Brothers / Seven Arts Seven Arts,-122.4040359,37.7595749
Chance Season 2,2017,Hulu,TVM Productions Inc.,-122.4157997,37.8082387
Tales of the City,2019,Netflix,Universal Television LLC,-122.4078236,37.8001418
Dreams,2025,The Match Factory GmbH,Suenos Productions LLC,-122.4087664,37.7552502
My Big Fat Chinese Christmas,2022,Hallmark Channel,Hongbao Productions,-122.4198731,37.8028179
Freebie and the Bean,1974,American Broadcasting Company (ABC),Warner Bros. Pictures,-122.4661345,37.7695812
"Looking ""Special""",2016,HBO,"Mission Street Productions, LLC",-122.4171274,37.7726957
The Assassination of Richard Nixon,2004,THINKFilm,Anhelo Productions,-122.406019,37.7975646
Nash Bridges,2021,USA Nework,"Village NB Productions, LLC",-122.4100923,37.7923883
Cherish,2002,Fine Line Features,3 Ring Circus Films,-122.4236094,37.7506147
A View to a Kill,1985,MGM/UA Entertainment Company,Metro-Goldwyn Mayer,-122.3976732,37.7992627
Vertigo,1958,Paramount Pictures,Alfred J. Hitchcock Productions,-122.4159416,37.7885796
Time After Time,1979,Columbia Broadcasting System (CBS),Orion Pictures Corp.,-122.482977,37.7689203
The Bachelor,1999,New Line Cinema,George Street Pictures,-122.4078578,37.7997928
Broken-A Modern Love Story,2010,,RKW Films,-122.4137716,37.7980325
Shit and Champagne,2020,,"Shaboom Boom, LLC",-122.4079226,37.8022093
City of Angels,1998,Warner Bros. Pictures,Atlas Entertainment,-122.4158888,37.7789562
What's Up Doc?,1972,Warner Bros. Pictures,Warner Bros. Pictures,-122.4101808,37.8016649
"Smile Again, Jenny Lee",2015,,Carlo Caldana/Marguery Films,-122.4365274,37.7548862
Blue Jasmine,2013,Sony Pictures Classics,Perdido Productions,-122.3870349,37.7641167
Chance Season 2,2017,Hulu,TVM Productions Inc.,-122.4206418,37.8021564
High Anxiety,1977,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,-122.3956663,37.7942169
Pushing Dead,2016,TBD,"Pushing Dead , LLC",-122.4792811,37.7825309
Looking,2014,Home Box Office (HBO),"Mission Street Productions, LLC",-122.422184,37.7648283
DEVS,2020,FX Network,Minim Productions,-122.4124936,37.7518067
Big Eyes,2014,Weinstein Company,Blink & Wink Productions,-122.4484231,37.8029308
Etruscan Smile,2017,TBD,"Po Valley Productions, LLC",-122.3988062,37.7933714
Final Analysis,1992,Warner Bros. Pictures,Warner Bros. Pictures,-122.4192417,37.779275
Terminator - Genisys,2015,Paramount Pictures,T5 Productions LLC,-122.400202,37.7878372
Time After Time,1979,Columbia Broadcasting System (CBS),Orion Pictures Corp.,-122.4426736,37.7990728
Nash Bridges,2022,USA Nework,"Village NB Productions, LLC",-122.3956409,37.7993521
The Rock,1996,Buena Vista Pictures,Hollywood Pictures,-122.4230122,37.8266636
Quitters,2015,,"Frederick & Ashbury, LLC.",-122.4432686,37.8033611
Terminator - Genisys,2015,Paramount Pictures,T5 Productions LLC,-122.4155765,37.7902607
"Smile Again, Jenny Lee",2015,,Carlo Caldana/Marguery Films,-122.4300886,37.7941996
Chance Season 2,2017,Hulu,TVM Productions Inc.,-122.4455786,37.7673285
Vertigo,1958,Paramount Pictures,Alfred J. Hitchcock Productions,-122.4106579,37.7931077
The Matrix Resurrections,2021,Warner Brothers,"Adobe Pictures, Inc.",-122.402295,37.7920164
A Taiwanese Tale of Two Cities,2018,Netflix,Envision Productions Inc.,-122.405979,37.793631
Crackers,1984,Universal Pictures,Universal Pictures,-122.4210056,37.7584378
The Last Black Man in San Francisco,2019,A24,"LBMISF, LLC",-122.4328116,37.7768965
Terminator - Genisys,2015,Paramount Pictures,T5 Productions LLC,-122.4065727,37.7658572
"Budding Prospects, Pilot",2017,Amazon,Picrow Streaming Inc.,-122.4121012,37.7421331
Freebie and the Bean,1974,American Broadcasting Company (ABC),Warner Bros. Pictures,-122.4027468,37.7950185
Americana,2015,,Sutro Films LLC,-122.422429,37.764658
The Matrix Resurrections,2021,Warner Brothers,"Adobe Pictures, Inc.",-122.4028796,37.7913674
Bicentennial Man,1999,Buena Vista Pictures,1492 Pictures,-122.4785598,37.8199109
Fremont,2023,Music Box Films,Fremont The Movie LLC,-122.4060745,37.7937557
The Presidio,1988,Paramount Pictures,Paramount Pictures,-122.4040755,37.7991868
"Looking ""Special""",2016,HBO,"Mission Street Productions, LLC",-122.3900433,37.7543531
Sense8,2015,Netflix,"Unpronounceable Productions, LLC",-122.4422194,37.7528949
Shit and Champagne,2020,,"Shaboom Boom, LLC",-122.3769148,37.7401689
Ant-Man and the Wasp,2018,Walt Disney Studios Motion Pictures,"PYM Particles Productions II, LLC",-122.4071135,37.7959798
Beautiful Boy,2018,Amazon Studios,Big Indie Pictures,-122.4146535,37.7855867
Chance- Season 1 ep110,2016,HULU,TVM Productions,-122.4624509,37.7251502
Super Pumped: The Battle for Uber,2022,Showtime,Possible Productions,-122.3954651,37.7613763
The Diary of a Teenage Girl,2015,Sony Pictures Classics,"Diary the Movie, LLC",-122.4060249,37.7976453
Golden Gate,1994,The Samuel Goldwyn Company,American Playhouse Theatrical Films,-122.4073781,37.7955382
The OA Part II,2019,Netflix,Lunar Mining LLC,-122.4128965,37.7942941
The OA Part II,2019,Netflix,Lunar Mining LLC,-122.4133446,37.8092691
Experiment in Terror,1962,Columbia Pictures,Columbia Pictures Corporation,-122.3815252,37.7127107
Phenomenon,1996,Buena Vista Pictures,Touchstone Pictures,-122.3699786,37.825284
"Smile Again, Jenny Lee",2015,,Carlo Caldana/Marguery Films,-122.4777242,37.7432011
Dreams,2025,The Match Factory GmbH,Suenos Productions LLC,-122.4206327,37.7538556
Surface,2022,Apple TV+,"Apple Studios, LLC",-122.4175714,37.7909544
Innerspace,1987,Warner Bros. Pictures,Amblin Entertainment,-122.4052612,37.8009425
Surface,2022,Apple TV+,"Apple Studios, LLC",-122.483638,37.7935724
The OA Part II,2019,Netflix,Lunar Mining LLC,-122.4174152,37.7982681
Women is Losers,2020,,Look at the Moon Pictures,-122.4333967,37.7710559
Women is Losers,2020,,Look at the Moon Pictures,-122.4682944,37.7146885
Mrs. Doubtfire,1993,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,-122.409672,37.7991606
Chance- Season 1 ep109,2016,HULU,TVM Productions,-122.5137962,37.7783123
Chance- Season 1 ep106,2016,HULU,TVM Productions,-122.4135414,37.7812278
"Murder in the First, Season 3",2016,Turner Network Television (TNT),Turner North Center Productions,-122.4250075,37.7772013
Hulk,2003,Universal Pictures,Universal Pictures,-122.4052612,37.8009425
Alexander's Ragtime Band,1938,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,-122.4100923,37.7923883
Chance Season 2,2017,Hulu,TVM Productions Inc.,-122.4212203,37.7735081
The OA Part II,2019,Netflix,Lunar Mining LLC,-122.4069298,37.7950135
Invasion of the Body Snatchers,1978,United Artists,Solofilm,-122.4048082,37.7944675
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,-122.4144743,37.783794
The Presidio,1988,Paramount Pictures,Paramount Pictures,-122.4070248,37.7950898
Fearless,1993,Warner Bros. Pictures,Spring Creek Productions,-122.405629,37.7555919
Venom,2018,"Columbia Pictures, Sony Pictures Releasing","L.O.Z. Productions, Inc.",-122.4148268,37.7865283
Zodiac,2007,Paramount Pictures,Paramount Pictures,-122.4065207,37.7822008
When We Rise,2017,Amercian Broadcasting Company,Film 49 Productions,-122.4370713,37.7577693
Shit and Champagne,2020,,"Shaboom Boom, LLC",-122.4144155,37.7718948
Quitters,2015,,"Frederick & Ashbury, LLC.",-122.4314352,37.7444875
Red Widow,2013,American Broadcasting Company (ABC),Beyond Pix,-122.4058782,37.8031199
Guess Who's Coming to Dinner,1967,Columbia Pictures,Columbia Pictures Corporation,-122.3816274,37.6191145
Chance - Season 1 Pilot,2016,HULU,TVM Productions,-122.4033161,37.7966361
Surface,2022,Apple TV+,"Apple Studios, LLC",-122.3929881,37.7860548
Super Pumped: The Battle for Uber,2022,Showtime,Possible Productions,-122.4164119,37.7777572
San Andreas,2015,Warner Bros.,"Upside Down Productions, Inc.",-122.4055626,37.7905824
"Smile Again, Jenny Lee",2015,,Carlo Caldana/Marguery Films,-122.4628456,37.7481096
Women is Losers,2020,,Look at the Moon Pictures,-122.4172258,37.7507117
Flower Drum Song,1961,Universal Pictures,Fields Productions,-122.4785598,37.8199109
Shit and Champagne,2020,,"Shaboom Boom, LLC",-122.4902199,37.7532947
Earth Mama,2023,A24,Park Pictures,-122.3763984,37.8297385
Woman on the Run,1950,Universal Pictures,Fidelity Pictures Corporation,-122.4075701,37.7840447
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.4125282,37.8085771
DEVS,2020,FX Network,Minim Productions,-122.4190792,37.7586345
Nash Bridges,2021,USA Nework,"Village NB Productions, LLC",-122.3874602,37.7876462
Dawn of the Planet of the Apes,2014,Twentieth Century Fox,"Fox Louisiana Productions, LLC",-122.4055351,37.7970715
